Donor ID,First Name,Last Name,Email,Donation Amount,Last Donation Date,Campaign,Donation Frequency,Engagement Level,Notes
039,Matthew,Roy,oburton@gmail.com,100,2024-07-28,Annual Fund,One-time,Low,House I least everything anything talk audience south.
040,David,Foster,nicholasprice@hotmail.com,25,2025-10-14,Giving Tuesday,Monthly,Medium,Image per guess plan group whose know.
041,Kevin,Rodriguez,anitabrown@yahoo.com,25,2024-03-20,Spring Drive,Quarterly,Low,Important challenge whole inside.
042,Heather,Shaw,irosario@dunn.com,150,2025-05-01,Giving Tuesday,One-time,High,Scientist herself account month lay heart.
043,Kristina,Wilson,james59@jordan-johnson.com,25,2024-05-27,Special Event,Quarterly,Medium,Marriage somebody long one task laugh.
044,Karen,Vang,vramirez@gmail.com,300,2025-01-20,Annual Fund,One-time,High,Weight how fine.
045,Bill,Young,lwatkins@fields-garcia.biz,75,2025-05-16,Giving Tuesday,Quarterly,High,Capital spend high present over.
046,Yvette,Ingram,marcusalexander@yahoo.com,300,2024-11-06,Special Event,One-time,High,Water degree old.
047,Gregory,Hayes,hayesnicholas@garcia.com,100,2024-05-28,Spring Drive,One-time,Medium,Hard whatever concern debate people defense.
048,Sandra,Walker,adam20@gmail.com,25,2024-02-19,Spring Drive,Quarterly,Medium,West your reach tell.
049,Donald,Cooper,dellis@chapman.org,100,2025-04-13,Giving Tuesday,Monthly,Low,Race matter part collection office enough read.
050,Brandon,Holt,rcunningham@yahoo.com,250,2025-07-08,Giving Tuesday,Quarterly,Medium,Work writer find similar least.
051,Rebecca,Gibbs,wcoleman@yahoo.com,100,2024-10-29,Giving Tuesday,Monthly,High,Become seek gun recognize.
052,Raymond,Vance,boydandrew@hotmail.com,50,2023-12-21,Special Event,Monthly,Low,Lay toward ago notice fact be standard.
053,Cynthia,Anderson,pamelatownsend@hotmail.com,300,2024-06-24,Annual Fund,One-time,Medium,Matter represent society exist white almost.
054,Aaron,Newman,joseph17@gmail.com,250,2025-01-30,Spring Drive,Quarterly,Low,Speech along now area attack pick.
055,Lisa,Hill,sstewart@richardson.info,25,2023-12-14,Annual Fund,Quarterly,High,Blue throw TV standard political room step.
056,Vincent,Wagner,juan08@cook.com,250,2023-12-17,Special Event,Monthly,Medium,Deal activity speech pattern bad develop.
057,Robin,Mendoza,martinstephanie@gmail.com,100,2025-03-11,Annual Fund,Monthly,Low,Agreement western if rule.
058,Jennifer,Smith,jasminecarey@hernandez.com,100,2025-07-29,Giving Tuesday,One-time,High,Across message audience matter bring face past.
059,Justin,Jones,joshua39@davidson.com,25,2023-11-27,Spring Drive,Monthly,Low,Degree trade order consumer.
060,Nathan,Thomas,cheyenne00@russell.net,75,2024-10-30,Annual Fund,Monthly,Low,Morning identify news.
061,Andrew,Mason,john60@hotmail.com,250,2024-09-11,Annual Fund,Quarterly,High,Hit character hear listen per community.
062,Kim,Ramos,maykimberly@gmail.com,25,2025-04-19,Spring Drive,One-time,High,Bill plan wrong.
063,Chad,Petty,colemanamy@yahoo.com,200,2024-03-23,Annual Fund,One-time,Low,Kind read give.
064,Alexis,Jimenez,arthur73@gmail.com,25,2025-08-23,Giving Tuesday,Monthly,High,Itself result throw whether way friend place.
065,Rebecca,Martinez,natalie91@kramer-gardner.org,300,2024-05-19,Giving Tuesday,Monthly,Medium,Radio budget require make control.
066,Paul,Silva,gallegoskelly@jimenez.com,75,2024-01-13,Special Event,Monthly,Medium,Fish forward friend.
067,Brenda,Moore,darrell12@yahoo.com,200,2025-05-23,Giving Tuesday,One-time,Medium,Everyone himself professor.
068,Sheri,Johnson,justinjohnston@gmail.com,50,2024-08-16,Spring Drive,One-time,Medium,Space store father.
069,Derrick,Johnson,rossjennifer@gmail.com,50,2025-10-02,Spring Drive,Quarterly,High,History politics let growth.
070,Maria,Austin,ariana64@hughes.com,200,2023-12-01,Spring Drive,Quarterly,High,Difference beyond she bit yeah half health.
071,Catherine,Murphy,sarahadams@campbell-moreno.net,100,2024-03-26,Spring Drive,Quarterly,Low,Character father many real every professional eye.
072,Mark,Perry,ramirezcharles@gmail.com,150,2024-06-23,Special Event,One-time,Medium,Politics much defense way key chair coach.
073,Katie,Huynh,sanderskelsey@robertson.com,25,2023-10-28,Giving Tuesday,Quarterly,High,Then prevent certain she.
074,Andrew,Campbell,michaelbates@gutierrez.net,100,2024-02-04,Spring Drive,Monthly,Low,Deep fight skin expect.
075,Calvin,Martinez,thomaswilliamson@hotmail.com,50,2024-09-27,Giving Tuesday,Quarterly,Medium,Now current board term.
076,Christopher,Lee,browndonna@wood.com,75,2025-08-12,Spring Drive,One-time,Low,International maintain this financial TV.
077,David,Petty,maria72@hotmail.com,100,2024-07-04,Spring Drive,Quarterly,Low,Skill billion one half himself.
078,Bryan,Rodriguez,michael67@price.com,300,2025-04-03,Special Event,Monthly,High,Read service increase southern east itself inside.
079,Teresa,Cherry,quinnrichard@simpson.org,50,2024-02-14,Special Event,Monthly,Low,Go bring exist either resource son bag.
080,Meagan,Case,lucas31@chen.biz,75,2025-03-17,Giving Tuesday,One-time,Low,Sort mother more might other.
081,David,Anderson,amy24@yahoo.com,75,2025-07-20,Giving Tuesday,Quarterly,Medium,Site worry job southern player.
082,Robert,Freeman,karen21@jackson-mason.com,300,2023-12-13,Spring Drive,One-time,Medium,Enough seven skin soon who coach.
083,Douglas,Boone,jessicapage@hotmail.com,200,2025-01-03,Special Event,One-time,High,Executive read read bad TV term will.
084,Joseph,Roth,kwright@pearson-rangel.biz,300,2024-08-13,Special Event,One-time,High,Phone change threat reduce lose pull second.
085,Amanda,Esparza,yholland@simpson.biz,50,2024-05-12,Giving Tuesday,Monthly,Low,Blood suddenly develop may forward.
086,Tina,Flores,hayeschristopher@rogers-summers.net,25,2024-06-19,Giving Tuesday,Monthly,Medium,Black teach relationship special support she box technology.
087,Edward,Jones,amanda04@hotmail.com,25,2025-04-11,Special Event,Monthly,High,Work center interesting tend.
088,Wendy,Lewis,hnoble@smith.com,50,2025-02-04,Annual Fund,Monthly,Low,Stage best stand main reflect.
089,Olivia,Robinson,dorothy77@hotmail.com,75,2025-09-12,Special Event,Quarterly,Medium,Under first field store.
090,Megan,Morrison,williamsjon@gmail.com,300,2024-12-19,Giving Tuesday,One-time,Low,Dinner fund simple its join worry among next.
091,Jacob,Horton,williamschristine@figueroa-santos.com,50,2024-06-20,Annual Fund,Monthly,High,I visit quite pressure during office student continue.
092,Margaret,Turner,wsanchez@gmail.com,75,2025-08-27,Spring Drive,Quarterly,High,Talk benefit event practice result.
093,Nancy,Wilson,smithchristopher@dorsey-gill.com,150,2024-05-24,Giving Tuesday,One-time,High,Rest design treat crime amount.
094,Brandy,Wolfe,breanna78@fischer.info,100,2023-12-22,Giving Tuesday,Monthly,High,President group could season season.
095,Erica,Moreno,petergriffin@yahoo.com,200,2024-03-28,Annual Fund,One-time,High,But pressure trade firm evidence statement yet.
096,Jeffery,Page,keith48@hotmail.com,200,2025-01-14,Giving Tuesday,Monthly,Medium,Power traditional world official reason answer.
097,Jeffrey,Greer,jason14@moore.com,100,2025-02-19,Spring Drive,Monthly,High,Pattern offer purpose key recognize art option.
098,Selena,Richards,zhaas@salazar-walls.biz,75,2025-07-23,Giving Tuesday,One-time,Low,Analysis fact trade happy case single question.
099,Margaret,French,geoffrey40@collins.net,300,2024-08-12,Spring Drive,Monthly,High,Those plan another one.
100,April,Moss,joseph20@huang.com,50,2025-01-04,Spring Drive,One-time,Medium,Exist go national positive then case.
101,Amanda,Norman,nlopez@bright.com,200,2025-01-26,Annual Fund,Quarterly,Medium,Too financial must cover although.
102,Maureen,Preston,katie23@hotmail.com,100,2024-06-13,Spring Drive,Monthly,Low,Practice network left father.
103,Crystal,Hill,qramirez@yahoo.com,300,2024-03-30,Annual Fund,Quarterly,High,Authority ground arm assume church its.
104,Elizabeth,Ramirez,darrenberry@hotmail.com,150,2024-03-12,Spring Drive,One-time,High,Box traditional much record standard pay over.
105,Jeremy,Mitchell,katiedavis@white.com,200,2024-05-30,Spring Drive,Quarterly,Medium,Red adult responsibility capital training mind.
106,John,Jackson,jimcontreras@miller-thompson.net,250,2023-10-31,Spring Drive,One-time,High,Law improve society leader animal.
107,Joseph,Williams,flowersryan@hotmail.com,100,2025-08-07,Spring Drive,Quarterly,High,Pull friend leader.
108,Dominic,Rios,benjaminballard@yahoo.com,300,2025-07-03,Special Event,Monthly,High,Admit positive risk player teacher.
109,Amanda,Butler,alexanderjones@gmail.com,25,2024-02-01,Annual Fund,Quarterly,Medium,Culture a surface seven appear past.
110,Jessica,Thompson,dnovak@yahoo.com,25,2025-05-15,Spring Drive,Monthly,Low,Area candidate seek decade lay future.
111,Lindsey,Mullen,chobbs@curtis.com,75,2024-09-25,Special Event,One-time,Medium,Back offer table power.
112,Brenda,Craig,suarezaaron@yahoo.com,50,2024-02-07,Special Event,Monthly,Medium,Tree itself network.
113,Mary,Hodges,joshua06@yahoo.com,150,2024-06-04,Giving Tuesday,Quarterly,High,Which arrive already fine anything lay.
114,Benjamin,Baldwin,vgates@brandt.org,150,2024-05-28,Spring Drive,Monthly,Medium,Security benefit maintain ever.
115,Julia,Ferguson,aprilgood@green.com,150,2025-03-11,Annual Fund,Monthly,Low,Enjoy newspaper necessary class.
116,Deborah,Franco,lynnlee@hotmail.com,25,2025-01-08,Spring Drive,Quarterly,Low,Field technology movie stock draw.
117,Brandy,Collins,nfrederick@hotmail.com,200,2023-12-13,Annual Fund,Quarterly,Low,Himself you find day.
118,Lori,Hernandez,jstafford@yahoo.com,75,2025-08-11,Giving Tuesday,Quarterly,Low,Somebody piece though candidate.
119,William,Brown,tracyowens@smith.net,300,2025-02-15,Special Event,Monthly,Low,Process clear heavy answer.
120,Joseph,Bailey,donna74@martinez-sims.com,100,2024-03-11,Annual Fund,Quarterly,High,Share have message hotel.
121,Thomas,Griffin,donaldedwards@hotmail.com,300,2025-08-20,Annual Fund,Quarterly,High,Although investment western water.
122,Sean,Brooks,scottdavis@gmail.com,250,2025-09-21,Annual Fund,Quarterly,Low,Rest bed husband social.
123,Sean,Johnson,rbennett@ryan.com,50,2025-07-15,Annual Fund,Monthly,Low,Prepare too so.
124,Laura,Tate,tpowell@yahoo.com,25,2024-10-09,Spring Drive,One-time,Low,Machine type save other.
125,Greg,Harris,wendyfitzgerald@hotmail.com,75,2025-01-29,Giving Tuesday,One-time,Low,Like hour find development yourself.
126,Vanessa,Watson,dorothy79@hotmail.com,100,2024-06-10,Giving Tuesday,Monthly,Low,Staff student half prevent.
127,Kelsey,Garner,jerry92@thompson.org,300,2025-08-13,Giving Tuesday,Quarterly,Medium,Great a he over whole.
128,Ashley,Kirk,elizabeth60@yahoo.com,150,2024-11-30,Giving Tuesday,One-time,High,Sort name bill quite me authority measure reality.
129,Bradley,Jennings,desiree27@yahoo.com,100,2025-02-19,Annual Fund,Quarterly,Medium,Interest head surface despite.
130,Nancy,Jones,mullinsmelissa@cantrell.com,100,2025-09-26,Giving Tuesday,Monthly,High,Much food position fast fire back exist.
131,Benjamin,Leon,ogill@hotmail.com,25,2025-03-26,Special Event,Monthly,High,Window traditional start sound serve professional media.
132,Stephanie,Young,davidmiller@hotmail.com,50,2024-04-21,Giving Tuesday,Quarterly,High,Power board chance anyone daughter.
133,Stephen,Mccarthy,suttonmichael@holmes.com,50,2024-08-13,Giving Tuesday,Quarterly,High,Agency century must only anyone idea often.
134,Matthew,Cervantes,ystevens@jackson.com,250,2025-08-15,Special Event,Monthly,Low,Staff that outside.
135,Spencer,Marquez,davidpayne@malone-kim.com,250,2024-03-08,Special Event,Quarterly,Low,Court million letter support agency watch story.
136,Donna,Rivera,reynoldselizabeth@williams-ryan.com,75,2024-04-24,Giving Tuesday,Quarterly,Low,Bring remain black identify.
137,Nicole,Hoffman,jermainezimmerman@cuevas-jimenez.com,200,2024-10-13,Special Event,One-time,Low,Memory radio good else.
138,Erin,Mathis,mccanndominique@hotmail.com,150,2025-01-19,Special Event,One-time,Medium,Face check chair agent reflect star.
139,Melissa,Reed,swansonricardo@hotmail.com,75,2024-07-25,Spring Drive,Monthly,Low,Thought production raise beat.
140,Melissa,Brown,derek90@yahoo.com,150,2025-07-21,Annual Fund,Quarterly,Low,With network that.
141,Dustin,Mitchell,williamskaren@ward-gordon.com,200,2025-05-10,Annual Fund,One-time,Low,Line article rather theory behind standard during.
142,Matthew,Dean,holtmichael@hall-white.info,250,2024-07-05,Giving Tuesday,Quarterly,Medium,Yeah leader information material half individual industry scene.
143,Elizabeth,Perkins,taylorcohen@hotmail.com,300,2025-02-27,Spring Drive,One-time,High,Scientist process management social.
144,Jeffrey,Jackson,rodney02@gutierrez-shields.com,50,2023-12-29,Spring Drive,Monthly,Low,Source become walk maybe road forget.
145,Angela,Martinez,jgonzalez@hotmail.com,200,2025-07-07,Giving Tuesday,One-time,Medium,However many partner gun surface eight range.
146,Sherri,Nunez,aliciaschroeder@gmail.com,75,2025-08-27,Spring Drive,Quarterly,Low,Skill head easy half commercial research.
147,Jacqueline,Rivera,ysmith@hotmail.com,300,2024-03-26,Spring Drive,Quarterly,High,Region stage pay.
148,Steven,Reed,rodriguezstacy@watson-pope.com,300,2025-06-05,Giving Tuesday,Quarterly,Medium,Hope point thank hear.
149,Stephanie,Weaver,michael00@stewart-mills.com,200,2024-07-15,Giving Tuesday,Quarterly,Medium,Rise pressure be.
150,Wendy,Sims,shanehenry@yahoo.com,150,2024-02-23,Annual Fund,One-time,Low,Word crime suffer current almost defense here.
